scenario_provider,scenario,scenario_type,scenario_geography,sector,technology,technology_type,price_unit,price_indicator,scenario_price,fuel_price,pathway_unit,scenario_pathway,scenario_capacity_factor,scenario_year,country_iso2_list,gap_filled_columns,fuel_for_price,lifetime_years,efficiency_decimal,capacity_additions_mw_per_yr,om_cost_usd_per_mw_per_yr,capital_cost_usd_per_mw,carbon_price_usd_per_tco2
WITCH 5.0,CO_CurPol,baseline,BRA,Power,BiomassCap,carbontech,USD/MWh,,44.2974623079348,12.600005077065434,MWh/yr,26194.7771856124,0.7954478010822797,2025,BR,"efficiency_decimal(global),lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global),fuel_price(global)",Biomass,40.0,0.264919,1519.92233530062,169721.2,2034507.725,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,BiomassCap - w/ CCS,carbontech,USD/MWh,,44.2974623079348,17.706486644968898,MWh/yr,0.401020056644,0.8000000000000121,2025,BR,,Gas,25.0,0.2905263157894739,0.0270767897758042,27471.952,4091105.368,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,BiomassCap - w/o CCS,carbontech,USD/MWh,,44.2974623079348,17.706486644968898,MWh/yr,26194.376165555797,0.7954477313908667,2025,BR,,Gas,25.0,0.3105263157894739,1519.89525851085,23927.184,2215480.0,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,CoalCap,carbontech,USD/MWh,,44.2974623079348,10.872788615589386,MWh/yr,2548.40237365435,2.687689800991431e-09,2025,BR,"efficiency_decimal(global),lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global)",Coal,40.0,0.419442,0.2262898468089,46602.10995788575,1888163.7,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,CoalCap - w/ CCS,carbontech,USD/MWh,,44.2974623079348,17.706486644968898,MWh/yr,1.5199415575741,2.253150798582344e-06,2025,BR,,Gas,40.0,0.34592838701321,0.0936198628089159,28877.5530748679,3552337.55666667,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,CoalCap - w/o CCS,carbontech,USD/MWh,,44.2974623079348,17.706486644968898,MWh/yr,2546.8824320967797,1.3446468871463167e-09,2025,BR,,Gas,40.0,0.53675606590054,0.132669984,23927.184,1670028.824,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,GasCap,carbontech,USD/MWh,,44.2974623079348,17.706486644968898,MWh/yr,32778.0312961628,0.1472463056228777,2025,BR,"efficiency_decimal(global),lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global)",Gas,35.0,0.4921420000000001,4538.065434098269,44248.6743,850947.9431,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,GasCap - w/ CCS,carbontech,USD/MWh,,44.2974623079348,17.706486644968898,MWh/yr,0.7452844809773,0.8391552511416174,2025,BR,,Gas,25.0,0.4947368421052628,0.0505561172901921,19385.449999999997,2191109.7199999997,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,GasCap - w/o CCS,carbontech,USD/MWh,,44.2974623079348,17.706486644968898,MWh/yr,32777.2860116819,0.1472305731122855,2025,BR,,Gas,25.0,0.481578947368421,4538.01487798098,14068.298,1089462.29,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,HydroCap,greentech,USD/MWh,,44.2974623079348,0.0,MWh/yr,128392.385833948,0.4826362252825797,2025,BR,capital_cost_usd_per_mw(global),Hydro,45.0,1.0,6230.915691542939,75880.19,2546018.4,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,NuclearCap,greentech,USD/MWh,,44.2974623079348,0.0,MWh/yr,2593.88298949576,0.9099378153729673,2025,BR,,Nuclear,40.0,1.0,425.137209252277,211194.957299229,4217276.954,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,OilCap,carbontech,USD/MWh,,44.2974623079348,41.57578463113044,MWh/yr,12327.0933680716,0.3651153471859482,2025,BR,"efficiency_decimal(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global),fuel_price(global)",Oil,,0.920896,0.0781738586616635,13084.6,436155.1,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,OilCap - w/o CCS,carbontech,USD/MWh,,44.2974623079348,17.706486644968898,MWh/yr,12327.0933680716,0.3651153471859482,2025,BR,"efficiency_decimal(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global)",Gas,,0.920896,0.0781738586616635,13084.6,436155.1,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,SolarCap - CSP,greentech,USD/MWh,,44.2974623079348,0.0,MWh/yr,363.811502677517,0.4202975430244174,2025,BR,,Gas,25.0,1.0,98.6650601409107,133039.574,3903197.14361878,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,SolarCap - PV,greentech,USD/MWh,,44.2974623079348,0.0,MWh/yr,7367.102842339389,0.2421325940721774,2025,BR,,Gas,25.0,1.0,1752.40671351329,47478.84414,929238.3246343492,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,WindCap,greentech,USD/MWh,,44.2974623079348,0.0,MWh/yr,25926.1826877669,0.4449214043893506,2025,BR,capital_cost_usd_per_mw(global),Wind,30.0,1.0,3942.90024331312,28202.2778771007,1957178.46877388,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,WindCap - Offshore,greentech,USD/MWh,,44.2974623079348,0.0,MWh/yr,81.0,0.1611115057218557,2025,BR,,Gas,30.0,1.0,1.89010163288,56228.8824,3441008.75278091,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,WindCap - Onshore,greentech,USD/MWh,,44.2974623079348,0.0,MWh/yr,25845.1826877669,0.4458108777612277,2025,BR,,Gas,30.0,1.0,3941.01014168024,28114.4412,1213320.3632095002,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,BiomassCap,carbontech,USD/MWh,,44.10038314529784,12.6,MWh/yr,28441.9959376035,0.7966641342863457,2030,BR,"efficiency_decimal(global),lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global),fuel_price(global)",Biomass,40.0,0.264919,846.2173864587351,165384.0,1933712.7439453125,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,BiomassCap - w/ CCS,carbontech,USD/MWh,,44.10038314529784,18.204240130499304,MWh/yr,0.4544633614564,0.8000000000001379,2030,BR,,Gas,25.0,0.293157894736842,0.0270767897758042,27471.952,4091105.368,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,BiomassCap - w/o CCS,carbontech,USD/MWh,,44.10038314529784,18.204240130499304,MWh/yr,28441.541474242,0.7966640809830219,2030,BR,,Gas,25.0,0.313157894736842,846.190309668959,23927.184,2215480.0,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,CoalCap,carbontech,USD/MWh,,44.10038314529784,11.110427324447288,MWh/yr,2180.89551163844,3.1405975352516862e-09,2030,BR,"efficiency_decimal(global),lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global)",Coal,40.0,0.44,0.2262898468089,46303.74531860352,1888163.7,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,CoalCap - w/ CCS,carbontech,USD/MWh,,44.10038314529784,18.204240130499304,MWh/yr,1.768174223096,1.936832631939482e-06,2030,BR,,Gas,40.0,0.348212798249034,0.0936198628089159,28877.7687921052,3552337.55666667,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,CoalCap - w/o CCS,carbontech,USD/MWh,,44.10038314529784,18.204240130499304,MWh/yr,2179.12733741534,1.5715729298814435e-09,2030,BR,,Gas,40.0,0.536931735799462,0.132669984,23927.184,1670028.824,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,GasCap,carbontech,USD/MWh,,44.10038314529784,18.204240130499304,MWh/yr,48770.8056855838,0.1009948033633107,2030,BR,"efficiency_decimal(global),lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global)",Gas,35.0,0.4921420000000001,4999.97481581548,48343.432406323234,921833.6917000002,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,GasCap - w/ CCS,carbontech,USD/MWh,,44.10038314529784,18.204240130499304,MWh/yr,0.8457806882001,1.3497027389509865e-06,2030,BR,,Gas,25.0,0.498421052631579,0.0505561172901921,19385.449999999997,2191109.7199999997,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,GasCap - w/o CCS,carbontech,USD/MWh,,44.10038314529784,18.204240130499304,MWh/yr,48769.9599048956,0.100996554816724,2030,BR,,Gas,25.0,0.489473684210526,4999.924259698191,14068.298,1089462.29,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,HydroCap,greentech,USD/MWh,,44.10038314529784,0.0,MWh/yr,142398.125306644,0.4864351592965701,2030,BR,capital_cost_usd_per_mw(global),Hydro,45.0,1.0,6230.915691542939,75880.19,2561545.7,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,NuclearCap,greentech,USD/MWh,,44.10038314529784,0.0,MWh/yr,4344.35174090879,0.8852096201354319,2030,BR,,Nuclear,40.0,1.0,473.070338841123,214362.692804061,4217276.954,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,OilCap,carbontech,USD/MWh,,44.10038314529784,50.412600000000005,MWh/yr,9808.682613073712,0.3964611872146119,2030,BR,"efficiency_decimal(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global),fuel_price(global)",Oil,,0.918742,10.4454827997524,13084.6,436155.1,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,OilCap - w/o CCS,carbontech,USD/MWh,,44.10038314529784,18.204240130499304,MWh/yr,9808.682613073712,0.3964611872146119,2030,BR,"efficiency_decimal(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global)",Gas,,0.918742,10.4454827997524,13084.6,436155.1,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,SolarCap - CSP,greentech,USD/MWh,,44.10038314529784,0.0,MWh/yr,786.223246989076,0.4390462894158436,2030,BR,,Gas,25.0,1.0,147.779990591178,133039.574,3491786.84913483,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,SolarCap - PV,greentech,USD/MWh,,44.10038314529784,0.0,MWh/yr,14628.6513256828,0.2280274188529601,2030,BR,,Gas,25.0,1.0,2180.35426613821,47478.84414,845304.0256573489,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,WindCap,greentech,USD/MWh,,44.10038314529784,0.0,MWh/yr,41029.7996031555,0.4437024072438156,2030,BR,capital_cost_usd_per_mw(global),Wind,30.0,1.0,5399.54743383975,28169.9440237824,1947089.087241211,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,WindCap - Offshore,greentech,USD/MWh,,44.10038314529784,0.0,MWh/yr,81.0,0.1611115057218557,2030,BR,,Gas,30.0,1.0,1.8901047318383,56228.8824,3117562.3374219397,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,WindCap - Onshore,greentech,USD/MWh,,44.10038314529784,0.0,MWh/yr,40948.7996031555,0.4442613946438155,2030,BR,,Gas,30.0,1.0,5397.65732910791,28114.4412,1125262.8439074298,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,BiomassCap,carbontech,USD/MWh,,43.25703614146656,13.150062626456034,MWh/yr,26861.5145279819,0.7971895826118381,2035,BR,"efficiency_decimal(global),lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global),fuel_price(global)",Biomass,40.0,0.264919,494.417585242941,158710.80000000002,1803486.4400390624,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,BiomassCap - w/ CCS,carbontech,USD/MWh,,43.25703614146656,18.712562201514757,MWh/yr,0.4969865670248999,0.8000000000001154,2035,BR,,Gas,25.0,0.295789473684211,0.0270767897758042,27471.952,4091105.368,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,BiomassCap - w/o CCS,carbontech,USD/MWh,,43.25703614146656,18.712562201514757,MWh/yr,26861.0175414148,0.7971895306130774,2035,BR,,Gas,25.0,0.315789473684211,494.390508453165,23927.184,2215480.0,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,CoalCap,carbontech,USD/MWh,,43.25703614146656,11.33274597324584,MWh/yr,1866.55023445972,3.669504812698336e-09,2035,BR,"efficiency_decimal(global),lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global)",Coal,40.0,0.45,0.2262898468089,46005.33871765136,1888163.7,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,CoalCap - w/ CCS,carbontech,USD/MWh,,43.25703614146656,18.712562201514757,MWh/yr,1.9804988736351,1.7291893370082053e-06,2035,BR,,Gas,40.0,0.350497086852268,0.0936198628089159,28877.9103971176,3552337.55666667,
