Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Agricultural Demand,million t DM/yr,4546.340549,4867.270746,5142.4695,5344.209937,5509.050215,5626.11891,5707.421765,5686.760365,5679.297084,5660.118713,5612.951968,5580.262545,5521.175392,5443.846091,5354.314356,5265.536097,5167.063969
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Agricultural Demand|Crops,million t DM/yr,4347.576743,4648.175921,4908.187007,5097.407637,5254.329419,5365.113068,5443.439938,5424.998341,5421.06229,5402.089441,5358.031461,5328.988402,5274.469826,5201.11668,5116.405827,5032.728736,4939.461565
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Agricultural Demand|Crops|Energy,million t DM/yr,52.73305816,64.47697345,82.650512,93.5650057,97.4899883,88.9626846,92.4291098,74.6614587,106.6742113,117.1747659,127.0019505,161.3219183,187.7783021,204.3490749,221.8480462,249.368528,267.9064095
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Agricultural Demand|Crops|Feed,million t DM/yr,322.6766214,364.1667593,399.8497112,431.4603733,469.0968767,505.2220671,539.0589594,538.3476066,531.2997984,526.6845798,518.0548957,512.5823093,508.6207452,495.309158,479.3368379,459.1482446,442.1675611
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Agricultural Demand|Crops|Food,million t DM/yr,2295.591185,2496.947017,2664.689419,2782.732471,2878.880245,2953.30243,2996.643516,3009.290884,3001.412905,3004.013399,2990.26547,2967.472642,2929.210493,2894.050401,2850.04635,2801.106265,2748.347854
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Agricultural Demand|Crops|Other,million t DM/yr,1676.575879,1722.585171,1760.997365,1789.649788,1808.862309,1817.625886,1815.308353,1802.698392,1781.675375,1754.216696,1722.709145,1687.611533,1648.860286,1607.408047,1565.174592,1523.105699,1481.039741
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Agricultural Demand|Livestock,million t DM/yr,198.7638053,219.0948252,234.2824934,246.8023,254.7207959,261.0058416,263.9818271,261.7620232,258.2347944,258.0292721,254.920507,251.2741434,246.7055661,242.7294106,237.9085289,232.807361,227.6024036
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity Additions|Electricity|Biomass,GW/yr,2.396674287,2.096909139,1.538174278,2.197695684,2.028377682,1.754074306,1.357732317,7.449833441,5.718349021,6.211243926,7.449914866,8.250891076,8.440034757,9.154237323,8.915300609,7.11696511,9.710677023
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,0,0,0.002744662,0.058227607,0.145028226,0.505438324,0.56286694,7.176246027,5.580079683,6.156706725,7.435932178,8.244703721,8.435049066,9.140316465,8.88238033,7.039037259,9.568488162
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2.396674287,2.096909139,1.535429615,2.139468076,1.883349457,1.248635982,0.794865376,0.273587414,0.138269338,0.054537201,0.013982688,0.006187355,0.004985691,0.013920858,0.032920279,0.077927851,0.142188862
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity Additions|Electricity|Coal,GW/yr,78.73497596,12.64352167,10.04039682,1.720941299,2.709411148,2.688185888,1.823479746,2.5719584,1.153946672,0.596697396,0.442263774,0.447790601,0.520440513,0.544673191,0.442624741,0.287756443,0.286265671
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity Additions|Electricity|Coal|w/ CCS,GW/yr,0,0,9.54E-05,1.720941299,2.709411148,2.688185888,1.823479746,2.5719584,1.153946672,0.596697396,0.442263774,0.447790601,0.520440513,0.544673191,0.442624741,0.287756443,0.286265671
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity Additions|Electricity|Coal|w/o CCS,GW/yr,78.73497596,12.64352167,10.04030142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity Additions|Electricity|Gas,GW/yr,13.08903689,10.58595305,9.672357281,5.309189285,5.696269167,4.9724877,3.095348633,2.323242174,1.516305573,0.936644421,0.664989076,0.645439837,0.895520286,0.784579709,0.806376739,0.766141156,0.850728134
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity Additions|Electricity|Gas|w/ CCS,GW/yr,0,0,0.002248092,0.007461355,0.020677658,0.034250422,0.092699634,0.524431886,0.360545687,0.246416656,0.238356102,0.308455977,0.62945581,0.385137798,0.243378065,0.110261787,0.074427958
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity Additions|Electricity|Gas|w/o CCS,GW/yr,13.08903689,10.58595305,9.670109189,5.301727929,5.675591509,4.938237278,3.002649,1.798810289,1.155759886,0.690227765,0.426632975,0.33698386,0.266064477,0.399441911,0.562998674,0.655879369,0.776300176
