variable,col1,col2,col3,col4,col5,Sector,Subsector,Technology,Fuel,CCS_flag
Emissions|CO2|Energy,Emissions,CO2,Energy,,,Energy,,Energy,,
Emissions|HFC|HFC245fa,Emissions,HFC,HFC245fa,,,Gases,,HFC245fa,,
Emissions|OC|Energy,Emissions,OC,Energy,,,Energy,,Energy,,
Emissions|OC|Energy|Demand|Industry,Emissions,OC,Energy,Demand,Industry,Industry,Demand,Energy,,
Emissions|Sulfur|AFOLU,Emissions,Sulfur,AFOLU,,,Gases,,AFOLU,,
Emissions|VOC|AFOLU,Emissions,VOC,AFOLU,,,Gases,,AFOLU,,
Emissions|VOC|Energy,Emissions,VOC,Energy,,,Energy,,Energy,,
Final Energy|Hydrogen,Final Energy,Hydrogen,,,,Hydrogen,,,,
Final Energy|Industry|Liquids,Final Energy,Industry,Liquids,,,Liquids,,,,
Final Energy|Industry|Solids|Coal,Final Energy,Industry,Solids,Coal,,Industry,Coal,,,
Final Energy|Residential and Commercial|Liquids,Final Energy,Residential and Commercial,Liquids,,,Liquids,,,,
Final Energy|Solids,Final Energy,Solids,,,,Coal,,,,
Final Energy|Solids|Coal,Final Energy,Solids,Coal,,,Coal,,Coal,Coal,
Final Energy|Transportation|Gases,Final Energy,Transportation,Gases,,,Transportation,Gases,,,
Final Energy|Transportation|Liquids|Bioenergy,Final Energy,Transportation,Liquids,Bioenergy,,Transportation,Liquids,Bioenergy,,
Final Energy|Transportation|Liquids|Oil,Final Energy,Transportation,Liquids,Oil,,Transportation,Liquids,Oil,,
Food Demand|Livestock,Food Demand,Livestock,,,,Agriculture,Livestock,,,
Investment|Energy Supply|Electricity|Nuclear,Investment,Energy Supply,Electricity,Nuclear,,Power,,Nuclear,Nuclear,
Land Cover|Cropland|Rainfed,Land Cover,Cropland,Rainfed,,,Agriculture,,,,
OM Cost|Fixed|Electricity|Coal|w/o CCS,OM Cost,Fixed,Electricity,Coal,w/o CCS,Power,Coal,Coal - w/o CCS,,w/o CCS
OM Cost|Fixed|Electricity|Hydro,OM Cost,Fixed,Electricity,Hydro,,Renewables,Hydro,Hydro,Hydro,
OM Cost|Fixed|Electricity|Wind,OM Cost,Fixed,Electricity,Wind,,Renewables,Wind,Wind,Wind,
Population,Population,,,,,,,,,
Price|Agriculture|Non-Energy Crops|Index,Price,Agriculture,Non-Energy Crops,Index,,Agriculture,Non-Energy Crops,,,
Primary Energy|Coal|Electricity|w/ CCS,Primary Energy,Coal,Electricity,w/ CCS,,Power,,Coal - w/ CCS,Coal,w/ CCS
Primary Energy|Coal|w/ CCS,Primary Energy,Coal,w/ CCS,,,Coal,Coal,Coal - w/ CCS,Coal,w/ CCS
Primary Energy|Coal|w/o CCS,Primary Energy,Coal,w/o CCS,,,Coal,Coal,Coal - w/o CCS,Coal,w/o CCS
Primary Energy|Gas,Primary Energy,Gas,,,,Gas&Oil,Gas,,Gas,
Primary Energy|Hydro,Primary Energy,Hydro,,,,Renewables,Hydro,Hydro,Hydro,
Secondary Energy,Secondary Energy,,,,,,,,,
Secondary Energy|Electricity|Coal|w/o CCS,Secondary Energy,Electricity,Coal,w/o CCS,,Power,Coal,Coal - w/o CCS,,w/o CCS
Secondary Energy|Electricity|Fossil|w/ CCS,Secondary Energy,Electricity,Fossil,w/ CCS,,Power,Fossil,Fossil - w/ CCS,,w/ CCS
Secondary Energy|Electricity|Geothermal,Secondary Energy,Electricity,Geothermal,,,Renewables,Geothermal,Geothermal,,
Secondary Energy|Gases,Secondary Energy,Gases,,,,Gases,Gases,Gases,,
Secondary Energy|Solids|Biomass,Secondary Energy,Solids,Biomass,,,Biomass,Biomass,Solids,,
Water Consumption|Electricity|Coal|w/ CCS,Water Consumption,Electricity,Coal,w/ CCS,,Power,Coal,Coal - w/ CCS,Coal,w/ CCS
Agricultural Production|Non-Energy|Livestock,Agricultural Production,Non-Energy,Livestock,,,Agriculture,Livestock,Non-Energy,,
Capacity Additions|Electricity|Oil|w/ CCS,Capacity Additions,Electricity,Oil,w/ CCS,,Power,Oil,Oil - w/ CCS,Oil,w/ CCS
Capacity|Electricity|Coal,Capacity,Electricity,Coal,,,Power,Coal,,Coal,
Capacity|Electricity|Gas,Capacity,Electricity,Gas,,,Power,Gas,,Gas,
Capacity|Liquids|Biomass|w/ CCS,Capacity,Liquids,Biomass,w/ CCS,,Power,Liquids,,Biomass,w/ CCS
Capital Cost|Electricity|Hydro,Capital Cost,Electricity,Hydro,,,Renewables,Hydro,Hydro,Hydro,
Capital Cost|Electricity|Wind|Onshore,Capital Cost,Electricity,Wind,Onshore,,Renewables,Wind,Wind - Onshore,Wind,
Carbon Sequestration|CCS|Biomass,Carbon Sequestration,CCS,Biomass,,,Biomass,,CCS,Biomass,CCS
Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,Carbon Sequestration,CCS,Biomass,Energy,Supply,Energy,Supply,CCS,Biomass,CCS
Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Carbon Sequestration,CCS,Fossil,Energy,Supply,Energy,Supply,CCS,Fossil,CCS
