scenario_provider,scenario,stringency_correct
AIM/CGE 2.2,EN_INDCi2030_1000f,C3
AIM/CGE 2.2,EN_INDCi2030_1200,C4
AIM/CGE 2.2,EN_INDCi2030_1200f,C4
AIM/CGE 2.2,EN_INDCi2030_1400,C4
AIM/CGE 2.2,EN_INDCi2030_1400f,C4
AIM/CGE 2.2,EN_INDCi2030_1600,C5
AIM/CGE 2.2,EN_INDCi2030_1600f,C5
AIM/CGE 2.2,EN_INDCi2030_1800,C5
AIM/CGE 2.2,EN_INDCi2030_1800f,C5
AIM/CGE 2.2,EN_INDCi2030_800f,C3
AIM/CGE 2.2,EN_INDCi2030_900f,C3
AIM/CGE 2.2,EN_INDCi2100,C6
AIM/CGE 2.2,EN_NPi2020_1000,C3
AIM/CGE 2.2,EN_NPi2020_1000f,C3
AIM/CGE 2.2,EN_NPi2020_1200,C3
AIM/CGE 2.2,EN_NPi2020_1200f,C4
AIM/CGE 2.2,EN_NPi2020_1400,C4
AIM/CGE 2.2,EN_NPi2020_1400f,C4
AIM/CGE 2.2,EN_NPi2020_1600,C5
AIM/CGE 2.2,EN_NPi2020_1600f,C5
AIM/CGE 2.2,EN_NPi2020_1800,C5
AIM/CGE 2.2,EN_NPi2020_1800f,C5
AIM/CGE 2.2,EN_NPi2020_300f,C1
AIM/CGE 2.2,EN_NPi2020_400f,C2
AIM/CGE 2.2,EN_NPi2020_500f,C2
AIM/CGE 2.2,EN_NPi2020_600,C1
AIM/CGE 2.2,EN_NPi2020_600f,C2
AIM/CGE 2.2,EN_NPi2020_700,C3
AIM/CGE 2.2,EN_NPi2020_700f,C3
AIM/CGE 2.2,EN_NPi2020_800,C3
AIM/CGE 2.2,EN_NPi2020_800f,C3
AIM/CGE 2.2,EN_NPi2020_900,C3
AIM/CGE 2.2,EN_NPi2020_900f,C3
AIM/CGE 2.2,EN_NPi2100,C7
AIM/CGE-Korea 2.1,CO_2Deg2020,UNKNOWN
AIM/CGE-Korea 2.1,CO_2Deg2030,UNKNOWN
AIM/CGE-Korea 2.1,CO_BAU,UNKNOWN
AIM/CGE-Korea 2.1,CO_Bridge,UNKNOWN
AIM/CGE-Korea 2.1,CO_CurPol,UNKNOWN
AIM/CGE-Korea 2.1,CO_GPP,UNKNOWN
AIM/CGE-Korea 2.1,CO_NDCMCS,UNKNOWN
AIM/Enduse-Japan 2.1,EN_NP_2025_-1002050,UNKNOWN
AIM/Enduse-Japan 2.1,EN_NP_2025_-502050,UNKNOWN
AIM/Enduse-Japan 2.1,EN_NP_2025_-602050,UNKNOWN
AIM/Enduse-Japan 2.1,EN_NP_2025_-702050,UNKNOWN
AIM/Enduse-Japan 2.1,EN_NP_2025_-802050,UNKNOWN
AIM/Enduse-Japan 2.1,EN_NP_2025_-902050,UNKNOWN
AIM/Enduse-Japan 2.1,EN_NP_BL,UNKNOWN
AIM/Enduse-Japan 2.1,EN_NP_CurPol,UNKNOWN
AIM/Enduse-Japan 2.1,EN_NP_UNDC,UNKNOWN
AIM/Hub-Japan 2.1,EN_NP_2025_-1002050,UNKNOWN
AIM/Hub-Japan 2.1,EN_NP_2025_-302050,UNKNOWN
AIM/Hub-Japan 2.1,EN_NP_2025_-402050,UNKNOWN
AIM/Hub-Japan 2.1,EN_NP_2025_-502050,UNKNOWN
AIM/Hub-Japan 2.1,EN_NP_2025_-602050,UNKNOWN
AIM/Hub-Japan 2.1,EN_NP_2025_-702050,UNKNOWN
AIM/Hub-Japan 2.1,EN_NP_2025_-802050,UNKNOWN
AIM/Hub-Japan 2.1,EN_NP_2025_-902050,UNKNOWN
AIM/Hub-Japan 2.1,EN_NP_CurPol,UNKNOWN
AIM/Hub-Japan 2.1,EN_NP_UNDC,UNKNOWN
AIM/Hub-Korea 2.0,EN_NP_2025_-1002050,UNKNOWN
AIM/Hub-Korea 2.0,EN_NP_2025_-302050,UNKNOWN
AIM/Hub-Korea 2.0,EN_NP_2025_-402050,UNKNOWN
AIM/Hub-Korea 2.0,EN_NP_2025_-502050,UNKNOWN
AIM/Hub-Korea 2.0,EN_NP_2025_-602050,UNKNOWN
AIM/Hub-Korea 2.0,EN_NP_2025_-702050,UNKNOWN
AIM/Hub-Korea 2.0,EN_NP_2025_-802050,UNKNOWN
AIM/Hub-Korea 2.0,EN_NP_2025_-902050,UNKNOWN
AIM/Hub-Korea 2.0,EN_NP_CurPol,UNKNOWN
AIM/Hub-Korea 2.0,EN_NP_UNDC,UNKNOWN
COFFEE 1.1,CO_2Deg2020,C4
COFFEE 1.1,CO_2Deg2030,C4
COFFEE 1.1,CO_BAU,C7
COFFEE 1.1,CO_Bridge,C3
COFFEE 1.1,CO_CurPol,C6
COFFEE 1.1,CO_GPP,C5
