scenario_provider,scenario,stringency_old,stringency_fixed
AIM/CGE 2.2,EN_INDCi2030_1000f,UNKNOWN,C4
AIM/CGE 2.2,EN_INDCi2030_1200,UNKNOWN,C5
AIM/CGE 2.2,EN_INDCi2030_1200f,UNKNOWN,C5
AIM/CGE 2.2,EN_INDCi2030_1400,UNKNOWN,C6
AIM/CGE 2.2,EN_INDCi2030_1400f,UNKNOWN,C6
AIM/CGE 2.2,EN_INDCi2030_1600,UNKNOWN,C7
AIM/CGE 2.2,EN_INDCi2030_1600f,UNKNOWN,C7
AIM/CGE 2.2,EN_INDCi2030_1800,UNKNOWN,C8
AIM/CGE 2.2,EN_INDCi2030_1800f,UNKNOWN,C8
AIM/CGE 2.2,EN_INDCi2030_800f,UNKNOWN,C3
AIM/CGE 2.2,EN_INDCi2030_900f,UNKNOWN,C4
AIM/CGE 2.2,EN_INDCi2100,UNKNOWN,UNKNOWN
AIM/CGE 2.2,EN_NPi2020_1000,UNKNOWN,C4
AIM/CGE 2.2,EN_NPi2020_1000f,UNKNOWN,C4
AIM/CGE 2.2,EN_NPi2020_1200,UNKNOWN,C5
AIM/CGE 2.2,EN_NPi2020_1200f,UNKNOWN,C5
AIM/CGE 2.2,EN_NPi2020_1400,UNKNOWN,C6
AIM/CGE 2.2,EN_NPi2020_1400f,UNKNOWN,C6
AIM/CGE 2.2,EN_NPi2020_1600,UNKNOWN,C7
AIM/CGE 2.2,EN_NPi2020_1600f,UNKNOWN,C7
AIM/CGE 2.2,EN_NPi2020_1800,UNKNOWN,C8
AIM/CGE 2.2,EN_NPi2020_1800f,UNKNOWN,C8
AIM/CGE 2.2,EN_NPi2020_300f,UNKNOWN,C1
AIM/CGE 2.2,EN_NPi2020_400f,UNKNOWN,C1
AIM/CGE 2.2,EN_NPi2020_500f,UNKNOWN,C2
AIM/CGE 2.2,EN_NPi2020_600,UNKNOWN,C2
AIM/CGE 2.2,EN_NPi2020_600f,UNKNOWN,C2
AIM/CGE 2.2,EN_NPi2020_700,UNKNOWN,C3
AIM/CGE 2.2,EN_NPi2020_700f,UNKNOWN,C3
AIM/CGE 2.2,EN_NPi2020_800,UNKNOWN,C3
AIM/CGE 2.2,EN_NPi2020_800f,UNKNOWN,C3
AIM/CGE 2.2,EN_NPi2020_900,UNKNOWN,C4
AIM/CGE 2.2,EN_NPi2020_900f,UNKNOWN,C4
AIM/CGE 2.2,EN_NPi2100,UNKNOWN,C8
AIM/CGE-Korea 2.1,CO_2Deg2020,UNKNOWN,UNKNOWN
AIM/CGE-Korea 2.1,CO_2Deg2030,UNKNOWN,UNKNOWN
AIM/CGE-Korea 2.1,CO_BAU,UNKNOWN,UNKNOWN
AIM/CGE-Korea 2.1,CO_Bridge,UNKNOWN,UNKNOWN
AIM/CGE-Korea 2.1,CO_CurPol,UNKNOWN,UNKNOWN
AIM/CGE-Korea 2.1,CO_GPP,UNKNOWN,UNKNOWN
AIM/CGE-Korea 2.1,CO_NDCMCS,UNKNOWN,UNKNOWN
AIM/Enduse-Japan 2.1,EN_NP_2025_-1002050,UNKNOWN,UNKNOWN
AIM/Enduse-Japan 2.1,EN_NP_2025_-502050,UNKNOWN,UNKNOWN
AIM/Enduse-Japan 2.1,EN_NP_2025_-602050,UNKNOWN,UNKNOWN
AIM/Enduse-Japan 2.1,EN_NP_2025_-702050,UNKNOWN,UNKNOWN
AIM/Enduse-Japan 2.1,EN_NP_2025_-802050,UNKNOWN,UNKNOWN
AIM/Enduse-Japan 2.1,EN_NP_2025_-902050,UNKNOWN,UNKNOWN
AIM/Enduse-Japan 2.1,EN_NP_BL,UNKNOWN,UNKNOWN
AIM/Enduse-Japan 2.1,EN_NP_CurPol,UNKNOWN,UNKNOWN
AIM/Enduse-Japan 2.1,EN_NP_UNDC,UNKNOWN,UNKNOWN
AIM/Hub-Japan 2.1,EN_NP_2025_-1002050,UNKNOWN,UNKNOWN
AIM/Hub-Japan 2.1,EN_NP_2025_-302050,UNKNOWN,UNKNOWN
AIM/Hub-Japan 2.1,EN_NP_2025_-402050,UNKNOWN,UNKNOWN
AIM/Hub-Japan 2.1,EN_NP_2025_-502050,UNKNOWN,UNKNOWN
AIM/Hub-Japan 2.1,EN_NP_2025_-602050,UNKNOWN,UNKNOWN
AIM/Hub-Japan 2.1,EN_NP_2025_-702050,UNKNOWN,UNKNOWN
AIM/Hub-Japan 2.1,EN_NP_2025_-802050,UNKNOWN,UNKNOWN
AIM/Hub-Japan 2.1,EN_NP_2025_-902050,UNKNOWN,UNKNOWN
AIM/Hub-Japan 2.1,EN_NP_CurPol,UNKNOWN,UNKNOWN
AIM/Hub-Japan 2.1,EN_NP_UNDC,UNKNOWN,UNKNOWN
AIM/Hub-Korea 2.0,EN_NP_2025_-1002050,UNKNOWN,UNKNOWN
AIM/Hub-Korea 2.0,EN_NP_2025_-302050,UNKNOWN,UNKNOWN
AIM/Hub-Korea 2.0,EN_NP_2025_-402050,UNKNOWN,UNKNOWN
AIM/Hub-Korea 2.0,EN_NP_2025_-502050,UNKNOWN,UNKNOWN
AIM/Hub-Korea 2.0,EN_NP_2025_-602050,UNKNOWN,UNKNOWN
AIM/Hub-Korea 2.0,EN_NP_2025_-702050,UNKNOWN,UNKNOWN
AIM/Hub-Korea 2.0,EN_NP_2025_-802050,UNKNOWN,UNKNOWN
AIM/Hub-Korea 2.0,EN_NP_2025_-902050,UNKNOWN,UNKNOWN
AIM/Hub-Korea 2.0,EN_NP_CurPol,UNKNOWN,UNKNOWN
AIM/Hub-Korea 2.0,EN_NP_UNDC,UNKNOWN,UNKNOWN
COFFEE 1.1,CO_2Deg2020,UNKNOWN,UNKNOWN
COFFEE 1.1,CO_2Deg2030,UNKNOWN,UNKNOWN
COFFEE 1.1,CO_BAU,UNKNOWN,UNKNOWN
COFFEE 1.1,CO_Bridge,UNKNOWN,UNKNOWN
COFFEE 1.1,CO_CurPol,UNKNOWN,UNKNOWN
COFFEE 1.1,CO_GPP,UNKNOWN,UNKNOWN
COFFEE 1.1,CO_NDCplus,UNKNOWN,UNKNOWN
COFFEE 1.1,EN_INDCi2030_1000,UNKNOWN,C4
COFFEE 1.1,EN_INDCi2030_1000_NDCp,UNKNOWN,C4
COFFEE 1.1,EN_INDCi2030_1000f,UNKNOWN,C4
COFFEE 1.1,EN_INDCi2030_1200,UNKNOWN,C5
COFFEE 1.1,EN_INDCi2030_1200f,UNKNOWN,C5
COFFEE 1.1,EN_INDCi2030_1400,UNKNOWN,C6
COFFEE 1.1,EN_INDCi2030_1400f,UNKNOWN,C6
COFFEE 1.1,EN_INDCi2030_1600,UNKNOWN,C7
COFFEE 1.1,EN_INDCi2030_1600f,UNKNOWN,C7
COFFEE 1.1,EN_INDCi2030_1800,UNKNOWN,C8
COFFEE 1.1,EN_INDCi2030_1800f,UNKNOWN,C8
COFFEE 1.1,EN_INDCi2030_2000,UNKNOWN,C8
COFFEE 1.1,EN_INDCi2030_2000f,UNKNOWN,C8
COFFEE 1.1,EN_INDCi2030_2500,UNKNOWN,C2
COFFEE 1.1,EN_INDCi2030_2500f,UNKNOWN,C2
COFFEE 1.1,EN_INDCi2030_400f,UNKNOWN,C1
COFFEE 1.1,EN_INDCi2030_500,UNKNOWN,C2
COFFEE 1.1,EN_INDCi2030_500f,UNKNOWN,C2
COFFEE 1.1,EN_INDCi2030_600,UNKNOWN,C2
COFFEE 1.1,EN_INDCi2030_600_NDCp,UNKNOWN,C2
COFFEE 1.1,EN_INDCi2030_600f,UNKNOWN,C2
COFFEE 1.1,EN_INDCi2030_700,UNKNOWN,C3
COFFEE 1.1,EN_INDCi2030_700f,UNKNOWN,C3
COFFEE 1.1,EN_INDCi2030_800,UNKNOWN,C3
COFFEE 1.1,EN_INDCi2030_800f,UNKNOWN,C3
COFFEE 1.1,EN_INDCi2030_900,UNKNOWN,C4
COFFEE 1.1,EN_INDCi2030_900f,UNKNOWN,C4
COFFEE 1.1,EN_INDCi2100,UNKNOWN,UNKNOWN
COFFEE 1.1,EN_INDCi2100_COV_NDCp,UNKNOWN,UNKNOWN
COFFEE 1.1,EN_NPi2020_1000,UNKNOWN,C4
COFFEE 1.1,EN_NPi2020_1000f,UNKNOWN,C4
COFFEE 1.1,EN_NPi2020_1200,UNKNOWN,C5
COFFEE 1.1,EN_NPi2020_1200f,UNKNOWN,C5
COFFEE 1.1,EN_NPi2020_1400,UNKNOWN,C6
COFFEE 1.1,EN_NPi2020_1400f,UNKNOWN,C6
COFFEE 1.1,EN_NPi2020_1600,UNKNOWN,C7
COFFEE 1.1,EN_NPi2020_1600f,UNKNOWN,C7
COFFEE 1.1,EN_NPi2020_1800,UNKNOWN,C8
COFFEE 1.1,EN_NPi2020_1800f,UNKNOWN,C8
COFFEE 1.1,EN_NPi2020_2000,UNKNOWN,C8
COFFEE 1.1,EN_NPi2020_2000f,UNKNOWN,C8
COFFEE 1.1,EN_NPi2020_2500,UNKNOWN,C2
COFFEE 1.1,EN_NPi2020_2500f,UNKNOWN,C2
COFFEE 1.1,EN_NPi2020_400,UNKNOWN,C1
COFFEE 1.1,EN_NPi2020_400_lowBECCS,UNKNOWN,C1
COFFEE 1.1,EN_NPi2020_400f,UNKNOWN,C1
COFFEE 1.1,EN_NPi2020_400f_lowBECCS,UNKNOWN,C1
COFFEE 1.1,EN_NPi2020_500,UNKNOWN,C2
COFFEE 1.1,EN_NPi2020_500f,UNKNOWN,C2
COFFEE 1.1,EN_NPi2020_600,UNKNOWN,C2
COFFEE 1.1,EN_NPi2020_600f,UNKNOWN,C2
COFFEE 1.1,EN_NPi2020_700,UNKNOWN,C3
