scenario,has_carbon_price_in_raw_data,carbon_price_flag,records_in_final_data,year_range_in_final_data,years_available
CO_2Deg2020,True,✅ HAD_CARBON_PRICE,13524,2025-2050,6
CO_2Deg2030,True,✅ HAD_CARBON_PRICE,13408,2025-2050,6
CO_Bridge,True,✅ HAD_CARBON_PRICE,13980,2025-2050,6
CO_CurPol,True,✅ HAD_CARBON_PRICE,13415,2025-2050,6
CO_GPP,True,✅ HAD_CARBON_PRICE,13633,2025-2050,6
CO_NDCplus,True,✅ HAD_CARBON_PRICE,12959,2025-2050,6
EN_INDCi2030_1000,True,✅ HAD_CARBON_PRICE,16433,2025-2050,6
EN_INDCi2030_1000f,True,✅ HAD_CARBON_PRICE,18159,2025-2050,6
EN_INDCi2030_1200,True,✅ HAD_CARBON_PRICE,15408,2025-2050,6
EN_INDCi2030_1200f,True,✅ HAD_CARBON_PRICE,15412,2025-2050,6
EN_INDCi2030_1400,True,✅ HAD_CARBON_PRICE,18192,2025-2050,6
EN_INDCi2030_1400f,True,✅ HAD_CARBON_PRICE,18192,2025-2050,6
EN_INDCi2030_1600,True,✅ HAD_CARBON_PRICE,13113,2025-2050,6
EN_INDCi2030_1600f,True,✅ HAD_CARBON_PRICE,13113,2025-2050,6
EN_INDCi2030_1800,True,✅ HAD_CARBON_PRICE,14007,2025-2050,6
EN_INDCi2030_1800f,True,✅ HAD_CARBON_PRICE,14007,2025-2050,6
EN_INDCi2030_3000,True,✅ HAD_CARBON_PRICE,11823,2025-2050,6
EN_INDCi2030_3000f,True,✅ HAD_CARBON_PRICE,11823,2025-2050,6
EN_INDCi2030_800_NDCp,True,✅ HAD_CARBON_PRICE,2160,2025-2050,6
EN_INDCi2030_800f,True,✅ HAD_CARBON_PRICE,16267,2025-2050,6
EN_INDCi2030_900_NDCp,True,✅ HAD_CARBON_PRICE,2160,2025-2050,6
EN_INDCi2030_900f,True,✅ HAD_CARBON_PRICE,13053,2025-2050,6
EN_INDCi2100,True,✅ HAD_CARBON_PRICE,18402,2025-2050,6
EN_NP_2025_-1002050,True,✅ HAD_CARBON_PRICE,1964,2025-2050,6
EN_NP_2025_-302050,True,✅ HAD_CARBON_PRICE,1386,2025-2050,6
EN_NP_2025_-402050,True,✅ HAD_CARBON_PRICE,1494,2025-2050,6
EN_NP_2025_-502050,True,✅ HAD_CARBON_PRICE,2046,2025-2050,6
EN_NP_2025_-602050,True,✅ HAD_CARBON_PRICE,1610,2025-2050,6
EN_NP_2025_-752050,True,✅ HAD_CARBON_PRICE,882,2025-2050,6
EN_NP_2025_-802050,True,✅ HAD_CARBON_PRICE,1778,2025-2050,6
EN_NP_2025_-902050,True,✅ HAD_CARBON_PRICE,1722,2025-2050,6
EN_NP_CurPol,True,✅ HAD_CARBON_PRICE,2240,2025-2050,6
EN_NP_UNDC,True,✅ HAD_CARBON_PRICE,2290,2025-2050,6
EN_NPi2020_1000,True,✅ HAD_CARBON_PRICE,18144,2025-2050,6
EN_NPi2020_1000f,True,✅ HAD_CARBON_PRICE,18186,2025-2050,6
EN_NPi2020_1200,True,✅ HAD_CARBON_PRICE,15437,2025-2050,6
EN_NPi2020_1200f,True,✅ HAD_CARBON_PRICE,15456,2025-2050,6
EN_NPi2020_1400,True,✅ HAD_CARBON_PRICE,18240,2025-2050,6
EN_NPi2020_1400f,True,✅ HAD_CARBON_PRICE,18252,2025-2050,6
EN_NPi2020_1600,True,✅ HAD_CARBON_PRICE,13161,2025-2050,6
EN_NPi2020_1600f,True,✅ HAD_CARBON_PRICE,13161,2025-2050,6
EN_NPi2020_1800,True,✅ HAD_CARBON_PRICE,14046,2025-2050,6
EN_NPi2020_1800f,True,✅ HAD_CARBON_PRICE,14046,2025-2050,6
EN_NPi2020_3000,True,✅ HAD_CARBON_PRICE,11826,2025-2050,6
EN_NPi2020_3000f,True,✅ HAD_CARBON_PRICE,11826,2025-2050,6
EN_NPi2020_300f,True,✅ HAD_CARBON_PRICE,6903,2025-2050,6
EN_NPi2020_400f,True,✅ HAD_CARBON_PRICE,13857,2025-2050,6
EN_NPi2020_500f,True,✅ HAD_CARBON_PRICE,13875,2025-2050,6
EN_NPi2020_600,True,✅ HAD_CARBON_PRICE,13836,2025-2050,6
EN_NPi2020_600f,True,✅ HAD_CARBON_PRICE,16243,2025-2050,6
EN_NPi2020_700,True,✅ HAD_CARBON_PRICE,11094,2025-2050,6
EN_NPi2020_700f,True,✅ HAD_CARBON_PRICE,11151,2025-2050,6
EN_NPi2020_800,True,✅ HAD_CARBON_PRICE,18107,2025-2050,6
EN_NPi2020_800f,True,✅ HAD_CARBON_PRICE,18147,2025-2050,6
EN_NPi2020_900,True,✅ HAD_CARBON_PRICE,13029,2025-2050,6
EN_NPi2020_900f,True,✅ HAD_CARBON_PRICE,13053,2025-2050,6
