scenario,has_carbon_price,records_with_carbon_price,total_records,carbon_price_coverage_pct,carbon_price_flag
BAU_PR,False,0,0,,❌ NO_CARBON_PRICE
CO_2Deg2020,False,0,0,,❌ NO_CARBON_PRICE
CO_2Deg2030,False,0,0,,❌ NO_CARBON_PRICE
CO_Baseline,False,0,0,,❌ NO_CARBON_PRICE
CO_Bridge,False,0,0,,❌ NO_CARBON_PRICE
CO_CurPol,False,0,0,,❌ NO_CARBON_PRICE
CO_GPP,False,0,0,,❌ NO_CARBON_PRICE
CO_NDCplus,False,0,0,,❌ NO_CARBON_PRICE
EN_INDCi2030_1000,False,0,0,,❌ NO_CARBON_PRICE
EN_INDCi2030_1000f,False,0,0,,❌ NO_CARBON_PRICE
EN_INDCi2030_1200,False,0,0,,❌ NO_CARBON_PRICE
EN_INDCi2030_1200f,False,0,0,,❌ NO_CARBON_PRICE
EN_INDCi2030_1400,False,0,0,,❌ NO_CARBON_PRICE
EN_INDCi2030_1400f,False,0,0,,❌ NO_CARBON_PRICE
EN_INDCi2030_1600,False,0,0,,❌ NO_CARBON_PRICE
EN_INDCi2030_1600f,False,0,0,,❌ NO_CARBON_PRICE
EN_INDCi2030_1800,False,0,0,,❌ NO_CARBON_PRICE
EN_INDCi2030_1800f,False,0,0,,❌ NO_CARBON_PRICE
EN_INDCi2030_3000,False,0,0,,❌ NO_CARBON_PRICE
EN_INDCi2030_3000f,False,0,0,,❌ NO_CARBON_PRICE
EN_INDCi2030_800_NDCp,False,0,0,,❌ NO_CARBON_PRICE
EN_INDCi2030_800f,False,0,0,,❌ NO_CARBON_PRICE
EN_INDCi2030_900_NDCp,False,0,0,,❌ NO_CARBON_PRICE
EN_INDCi2030_900f,False,0,0,,❌ NO_CARBON_PRICE
EN_INDCi2100,False,0,0,,❌ NO_CARBON_PRICE
EN_NDCUnc2030_-100pc2050,False,0,0,,❌ NO_CARBON_PRICE
EN_NDCUnc2030_-30pc2050,False,0,0,,❌ NO_CARBON_PRICE
EN_NDCUnc2030_-40pc2050,False,0,0,,❌ NO_CARBON_PRICE
EN_NDCUnc2030_-50pc2050,False,0,0,,❌ NO_CARBON_PRICE
EN_NDCUnc2030_-60pc2050,False,0,0,,❌ NO_CARBON_PRICE
EN_NDCUnc2030_-70pc2050,False,0,0,,❌ NO_CARBON_PRICE
EN_NDCUnc2030_-80pc2050,False,0,0,,❌ NO_CARBON_PRICE
EN_NDCUnc2030_-90pc2050,False,0,0,,❌ NO_CARBON_PRICE
EN_NP_2025_-1002050,False,0,0,,❌ NO_CARBON_PRICE
EN_NP_2025_-302050,False,0,0,,❌ NO_CARBON_PRICE
EN_NP_2025_-402050,False,0,0,,❌ NO_CARBON_PRICE
EN_NP_2025_-502050,False,0,0,,❌ NO_CARBON_PRICE
EN_NP_2025_-602050,False,0,0,,❌ NO_CARBON_PRICE
EN_NP_2025_-752050,False,0,0,,❌ NO_CARBON_PRICE
EN_NP_2025_-802050,False,0,0,,❌ NO_CARBON_PRICE
EN_NP_2025_-902050,False,0,0,,❌ NO_CARBON_PRICE
EN_NP_CurPol,False,0,0,,❌ NO_CARBON_PRICE
EN_NP_UNDC,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_1000,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_1000f,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_1200,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_1200f,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_1400,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_1400f,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_1600,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_1600f,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_1800,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_1800f,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_3000,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_3000f,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_300f,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_400f,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_500f,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_600,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_600f,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_700,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_700f,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_800,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_800f,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_900,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2020_900f,False,0,0,,❌ NO_CARBON_PRICE
EN_NPi2100,False,0,0,,❌ NO_CARBON_PRICE
Gradual Development 1.0,False,0,0,,❌ NO_CARBON_PRICE
NDCUnc2030_-100pc2050,False,0,0,,❌ NO_CARBON_PRICE
NDCUnc2030_-30pc2050,False,0,0,,❌ NO_CARBON_PRICE
NDCUnc2030_-40pc2050,False,0,0,,❌ NO_CARBON_PRICE
NDCUnc2030_-50pc2050,False,0,0,,❌ NO_CARBON_PRICE
NDCUnc2030_-60pc2050,False,0,0,,❌ NO_CARBON_PRICE
NDCUnc2030_-70pc2050,False,0,0,,❌ NO_CARBON_PRICE
NDCUnc2030_-80pc2050,False,0,0,,❌ NO_CARBON_PRICE
NDCUnc2030_-90pc2050,False,0,0,,❌ NO_CARBON_PRICE
"NGFS1_Current policies (Hot house world, Rep)",False,0,0,,❌ NO_CARBON_PRICE
"NGFS1_Immediate 2C with CDR (Orderly, Rep)",False,0,0,,❌ NO_CARBON_PRICE
PR_CP_CarbonPriceOnly,False,0,0,,❌ NO_CARBON_PRICE
PR_CP_CarbonPrice_1,False,0,0,,❌ NO_CARBON_PRICE
PR_CP_EmIntensity_1,False,0,0,,❌ NO_CARBON_PRICE
PR_NDC_CarbonPriceOnly,False,0,0,,❌ NO_CARBON_PRICE
PR_NDC_CarbonPrice_1,False,0,0,,❌ NO_CARBON_PRICE
PR_NDC_EmIntensity_1,False,0,0,,❌ NO_CARBON_PRICE
SDS,False,0,0,,❌ NO_CARBON_PRICE
SSP1_SPA1_19I_D,False,0,0,,❌ NO_CARBON_PRICE
SSP1_SPA1_19I_D_LB,False,0,0,,❌ NO_CARBON_PRICE
SSP1_SPA1_19I_LI,False,0,0,,❌ NO_CARBON_PRICE
SSP1_SPA1_19I_LIRE,False,0,0,,❌ NO_CARBON_PRICE
SSP1_SPA1_19I_LIRE_LB,False,0,0,,❌ NO_CARBON_PRICE
SSP1_SPA1_19I_RE,False,0,0,,❌ NO_CARBON_PRICE
SSP1_SPA1_19I_RE_LB,False,0,0,,❌ NO_CARBON_PRICE
SSP1_SPA1_26I_D,False,0,0,,❌ NO_CARBON_PRICE
SSP1_SPA1_26I_LI,False,0,0,,❌ NO_CARBON_PRICE
SSP1_SPA1_26I_LIRE,False,0,0,,❌ NO_CARBON_PRICE
