R10 Region,ISO2,ISO3
R10AFRICA,DZ|AO|BJ|BW|BF|BI|CM|CV|CF|TD|KM|CG|CI|CD|DJ|EG|GQ|ER|ET|GA|GM|GH|GN|GW|KE|LS|LR|LY|MG|MW|ML|MR|MU|YT|MA|MZ|NA|NE|NG|RW|RE|ST|SN|SC|SL|SO|ZA|SS|SD|SZ|TG|TN|UG|TZ|EH|ZM|ZW,DZA|AGO|BEN|BWA|BFA|BDI|CMR|CPV|CAF|TCD|COM|COG|CIV|COD|DJI|EGY|GNQ|ERI|ETH|GAB|GMB|GHA|GIN|GNB|KEN|LSO|LBR|LBY|MDG|MWI|MLI|MRT|MUS|MYT|MAR|MOZ|NAM|NER|NGA|RWA|REU|STP|SEN|SYC|SLE|SOM|ZAF|SSD|SDN|SWZ|TGO|TUN|UGA|TZA|ESH|ZMB|ZWE
R10CHINA+,CN|HK|MO|MN|KP|KR,CHN|HKG|MAC|MNG|PRK|KOR
R10EUROPE,AL|AT|BE|BA|BG|HR|CY|CZ|DK|EE|FR|FI|DE|GR|HU|IS|IE|IT|XK|LV|LT|LU|MT|ME|NL|MK|NO|PT|CH|PL|RO|RS|SK|SI|ES|SE|TR|GB,ALB|AUT|BEL|BIH|BGR|HRV|CYP|CZE|DNK|EST|FRA|FIN|DEU|GRC|HUN|ISL|IRL|ITA|XK|LVA|LTU|LUX|MLT|MNE|NLD|MKD|NOR|PRT|CHE|POL|ROU|SRB|SVK|SVN|ESP|SWE|TUR|GBR
R10INDIA+,IN|AF|BD|BT|MV|NP|PK|LK,IND|AFG|BGD|BTN|MDV|NPL|PAK|LKA
R10LATIN_AM,AG|AR|AW|BS|BB|BZ|BO|BR|CL|CO|CR|CU|CW|DO|EC|SV|GF|GD|GP|GT|GY|HT|HN|JM|MQ|MX|NI|PA|PY|PE|PR|KN|LC|VC|SX|SR|TT|VI|UY|VE,ATG|ARG|ABW|BHS|BRB|BLZ|BOL|BRA|CHL|COL|CRI|CUB|CUW|DOM|ECU|SLV|GUF|GRD|GLP|GTM|GUY|HTI|HND|JAM|MTQ|MEX|NIC|PAN|PRY|PER|PRI|KNA|LCA|VCT|SXM|SUR|TTO|VIR|URY|VEN
R10MIDDLE_EAST,BH|IQ|IR|IL|JO|KW|LB|OM|PS|QA|SA|SY|AE|YE,BHR|IRQ|IRN|ISR|JOR|KWT|LBN|OMN|PSE|QAT|SAU|SYR|ARE|YEM
R10NORTH_AM,CA|GU|US,CAN|GUM|USA
R10PAC_OECD,AU|JP|NZ,AUS|JPN|NZL
R10REF_ECON,AM|AZ|BY|GE|KZ|KG|MD|RU|TJ|TM|UA|UZ,ARM|AZE|BLR|GEO|KAZ|KGZ|MDA|RUS|TJK|TKM|UKR|UZB
R10REST_ASIA,BN|KH|CK|FJ|PF|ID|KI|LA|MY|MH|FM|MM|NR|NU|PW|NC|PG|PH|WS|SG|SB|TW|TH|TL|TO|TV|VU|VN,BRN|KHM|COK|FJI|PYF|IDN|KIR|LAO|MYS|MHL|FSM|MMR|NRU|NIU|PLW|NCL|PNG|PHL|WSM|SGP|SLB|TWN|THA|TLS|TON|TUV|VUT|VNM
