scenario_provider,scenario,total_records,technology_count,technologies_included,records_with_gapfilling,records_without_gapfilling,gapfill_percentage,costs_gapfilled_count,costs_gapfilled_percentage,efficiency_lifetime_gapfilled_count,efficiency_lifetime_gapfilled_percentage,fuel_price_gapfilled_count,fuel_price_gapfilled_percentage,scenario_price_gapfilled_count,scenario_price_gapfilled_percentage,unique_gapfill_patterns,most_common_gapfill_pattern,technologies_with_positive_ebitda,total_technologies_in_scenario,technologies_with_positive_ebitda_percentage,unique_countries,year_range_start,year_range_end,scenario_type,scenario_geography
7see Mk5-20 GB,JPC to 0.8 of asymptote,84,7,"BiomassCap, CoalCap, GasCap, HydroCap, NuclearCap, WindCap - Offshore, WindCap - Onshore",84,0,100.0,84,100.0,84,100.0,36,42.86,84,100.0,4,"lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global),scenario_price(global)",0,7,0.0,1,2025,2050,target,GBR
7see Mk5-20 GB,JPC to asymp. with high population projection,84,7,"BiomassCap, CoalCap, GasCap, HydroCap, NuclearCap, WindCap - Offshore, WindCap - Onshore",84,0,100.0,84,100.0,84,100.0,36,42.86,84,100.0,4,"lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global),scenario_price(global)",0,7,0.0,1,2025,2050,target,GBR
7see Mk5-20 GB,JPC to asymp. with low population projection,84,7,"BiomassCap, CoalCap, GasCap, HydroCap, NuclearCap, WindCap - Offshore, WindCap - Onshore",84,0,100.0,84,100.0,84,100.0,36,42.86,84,100.0,4,"lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global),scenario_price(global)",0,7,0.0,1,2025,2050,target,GBR
7see Mk5-20 GB,JPC to asymptote,84,7,"BiomassCap, CoalCap, GasCap, HydroCap, NuclearCap, WindCap - Offshore, WindCap - Onshore",84,0,100.0,84,100.0,84,100.0,36,42.86,84,100.0,4,"lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global),scenario_price(global)",0,7,0.0,1,2025,2050,target,GBR
7see Mk5-30 GB,GB 5CB,84,7,"BiomassCap, CoalCap, GasCap, HydroCap, NuclearCap, WindCap - Offshore, WindCap - Onshore",84,0,100.0,84,100.0,84,100.0,36,42.86,84,100.0,4,"lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global),scenario_price(global)",0,7,0.0,1,2025,2050,target,GBR
7see Mk5-30 GB,GB BAU1a,84,7,"BiomassCap, CoalCap, GasCap, HydroCap, NuclearCap, WindCap - Offshore, WindCap - Onshore",84,0,100.0,84,100.0,84,100.0,36,42.86,84,100.0,4,"lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global),scenario_price(global)",0,7,0.0,1,2025,2050,target,GBR
7see Mk5-30 GB,GB FNNB,84,7,"BiomassCap, CoalCap, GasCap, HydroCap, NuclearCap, WindCap - Offshore, WindCap - Onshore",84,0,100.0,84,100.0,84,100.0,36,42.86,84,100.0,4,"lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global),scenario_price(global)",0,7,0.0,1,2025,2050,target,GBR
7see Mk5-30 GB,GB FOfW,84,7,"BiomassCap, CoalCap, GasCap, HydroCap, NuclearCap, WindCap - Offshore, WindCap - Onshore",84,0,100.0,84,100.0,84,100.0,36,42.86,84,100.0,4,"lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global),scenario_price(global)",0,7,0.0,1,2025,2050,target,GBR
7see Mk6-10 GB,WAM-fast,84,7,"BiomassCap, CoalCap, GasCap, HydroCap, NuclearCap, WindCap - Offshore, WindCap - Onshore",84,0,100.0,84,100.0,84,100.0,36,42.86,84,100.0,4,"lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global),scenario_price(global)",0,7,0.0,1,2025,2050,target,GBR
7see Mk6-10 GB,WAM-slow,84,7,"BiomassCap, CoalCap, GasCap, HydroCap, NuclearCap, WindCap - Offshore, WindCap - Onshore",84,0,100.0,84,100.0,84,100.0,36,42.86,84,100.0,4,"lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global),scenario_price(global)",0,7,0.0,1,2025,2050,target,GBR
7see Mk6-10 GB,WEM,84,7,"BiomassCap, CoalCap, GasCap, HydroCap, NuclearCap, WindCap - Offshore, WindCap - Onshore",84,0,100.0,84,100.0,84,100.0,36,42.86,84,100.0,4,"lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global),scenario_price(global)",0,7,0.0,1,2025,2050,target,GBR
AIM/CGE 2.2,EN_INDCi2030_1000f,1692,16,"BiomassCap, BiomassCap - w/ CCS, BiomassCap - w/o CCS, CoalCap, CoalCap - w/ CCS, CoalCap - w/o CCS, GasCap, GasCap - w/ CCS, GasCap - w/o CCS, GeothermalCap, HydroCap, NuclearCap, OilCap, OilCap - w/ CCS, OilCap - w/o CCS, WindCap - Onshore",1692,0,100.0,1020,60.28,1692,100.0,1296,76.6,60,3.55,20,"efficiency_decimal,lifetime_years,capital_cost_usd_per_mw,om_cost_usd_per_mw_per_yr,fuel_price",16,16,100.0,209,2025,2050,target,BRA
